01-19 20:27:54.947 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: begin
01-19 20:27:54.947 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: sampleRate => 1000
01-19 20:27:54.947 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: rawFields => Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
01-19 20:30:19.350 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692619350,-1486486,3683
01-19 20:30:20.356 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692620356,-1082912,3691
01-19 20:30:21.358 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692621358,-1165678,3691
01-19 20:30:22.362 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692622362,-1374789,3691
01-19 20:30:23.365 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692623365,-1879441,3691
01-19 20:30:24.367 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692624367,-2600162,3691
01-19 20:30:25.368 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692625368,-1234893,3691
01-19 20:30:26.372 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692626372,-1282502,3691
01-19 20:30:27.374 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692627374,-1184721,3691
01-19 20:30:28.377 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692628377,-1715008,3691
01-19 20:30:29.379 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692629379,-2179741,3699
01-19 20:30:30.380 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692630380,-2574526,3699
01-19 20:30:31.384 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692631384,-2429503,3699
01-19 20:30:32.385 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692632385,-2210137,3699
01-19 20:30:33.388 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692633388,-1485388,3699
01-19 20:30:34.389 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692634389,-2206109,3699
01-19 20:30:35.391 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692635391,-2233209,3699
01-19 20:30:36.395 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692636395,-2782539,3699
01-19 20:30:37.398 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692637397,-2387021,3699
01-19 20:30:38.400 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692638400,-2150810,3699
01-19 20:30:39.404 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692639404,-1950121,3618
01-19 20:30:40.407 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692640407,-1298249,3618
01-19 20:30:41.412 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692641412,-2539003,3618
01-19 20:30:42.414 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692642414,-2602725,3618
01-19 20:30:43.419 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692643419,-2548524,3618
01-19 20:30:44.421 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692644421,-2079030,3618
01-19 20:30:45.424 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692645424,-1817183,3618
01-19 20:30:46.425 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692646425,-1387241,3618
01-19 20:30:47.428 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692647428,-1099758,3618
01-19 20:30:48.431 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692648431,-2561708,3618
01-19 20:30:49.434 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692649434,-2090017,3704
01-19 20:30:50.436 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692650436,-1795942,3704
01-19 20:30:51.438 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692651438,-1374789,3704
01-19 20:30:52.440 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692652440,-1287995,3704
01-19 20:30:53.443 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692653443,-1139676,3704
01-19 20:30:54.445 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692654445,-1126492,3704
01-19 20:30:55.449 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692655449,-2375669,3704
01-19 20:30:56.453 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692656453,-1861130,3704
01-19 20:30:57.456 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692657456,-1321321,3704
01-19 20:30:58.458 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692658458,-1279938,3704
01-19 20:30:59.459 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692659459,-1231964,3628
01-19 20:31:00.462 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692660462,-1387241,3628
01-19 20:31:01.465 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692661465,-1984912,3628
01-19 20:31:02.467 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692662467,-2345639,3628
01-19 20:31:03.468 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692663468,-1530799,3628
01-19 20:31:04.471 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692664471,-1147367,3628
01-19 20:31:05.473 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692665473,-1044459,3628
01-19 20:31:06.477 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692666477,-1630045,3628
01-19 20:31:07.479 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692667479,-2138358,3628
01-19 20:31:08.480 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692668480,-2483337,3628
01-19 20:31:09.483 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692669483,-2984693,3672
01-19 20:31:10.488 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692670488,-2183037,3672
