timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet 2,net.bytes_recv.Ethernet 2,net.packets_sent.Ethernet 2,net.packets_recv.Ethernet 2,net.errin.Ethernet 2,net.errout.Ethernet 2,net.dropin.Ethernet 2,net.dropout.Ethernet 2,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1708849457160.285,0,0,0,0,0,0,0,0,71850141,1987024654,300973,1452891,0,0,0,0,0,0,0,0,0,0,0,0,640871331,56060837,399505,203448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339737754,1262784,229199,16995,0,0,0,0,1082138,36774628352,479399,27496617472,13.796875,33222.01562499999,32.484375,1146.2343750000073,1163.171875,9.5,1506.0,0.0,2300.0,178244257,93911763,0,746565058
1708849458120.5142,0,0,0,0,0,0,0,0,71870489,1987026154,301002,1452912,0,0,0,0,0,0,0,0,0,0,0,0,640875630,56063606,399545,203488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339739394,1262784,229207,16995,0,0,0,0,1082160,36774730752,479416,27497802240,13.796875,33239.37499999999,32.5,1147.1250000000073,1164.203125,10.0,1506.0,0.0,2300.0,178320482,93951095,0,746916312
1708849459034.9453,0,0,0,0,0,0,0,0,71870721,1987026474,301005,1452917,0,0,0,0,0,0,0,0,0,0,0,0,640876958,56065186,399562,203511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339739394,1262784,229207,16995,0,0,0,0,1082185,36774996992,479429,27498465280,13.796875,33255.90624999999,32.515625,1147.8750000000073,1165.21875,9.7,1506.0,0.0,2300.0,178378080,93982259,0,747126177
1708849460042.9746,0,0,0,0,0,0,0,0,71871117,1987026944,301009,1452923,0,0,0,0,0,0,0,0,0,0,0,0,640878277,56066874,399577,203536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339739394,1262784,229207,16995,0,0,0,0,1082249,36775271424,479441,27498983424,13.796875,33274.31249999999,32.53125,1148.5468750000073,1166.4375,9.4,2300.0,0.0,2300.0,178447989,94019047,0,747409705
1708849461159.03,0,0,0,0,0,0,0,0,71871349,1987027303,301012,1452928,0,0,0,0,0,0,0,0,0,0,0,0,640881426,56069649,399613,203576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339739394,1262784,229207,16995,0,0,0,0,1082269,36775353344,479444,27499057152,13.796875,33294.40624999999,32.53125,1149.3750000000073,1167.703125,9.4,1506.0,0.0,2300.0,178523170,94059444,0,747704194
1708849462078.903,0,0,0,0,0,0,0,0,71876095,1987028509,301030,1452937,0,0,0,0,0,0,0,0,0,0,0,0,640885389,56071390,399644,203601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339741034,1262784,229215,16995,0,0,0,0,1082320,36776041472,479464,27500276736,13.796875,33311.09374999999,32.546875,1150.1718750000073,1168.65625,9.6,1506.0,0.0,2300.0,178597089,94097986,0,748017992
1708849463241.6187,0,0,0,0,0,0,0,0,71877310,1987031282,301038,1452949,0,0,0,0,0,0,0,0,0,0,0,0,640887981,56074707,399677,203636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339741126,1262784,229216,16995,0,0,0,0,1082373,36776520704,479482,27501025280,13.796875,33332.40624999999,32.578125,1150.8906250000073,1169.71875,7.8,1506.0,0.0,2300.0,178673573,94139918,0,748338224
1708849464368.4106,0,0,0,0,0,0,0,0,71878364,1987031976,301051,1452956,0,0,0,0,0,0,0,0,0,0,0,0,640891785,56077694,399714,203678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339741218,1262784,229217,16995,0,0,0,0,1082489,36777683968,479503,27501720064,13.8125,33353.82812499999,32.578125,1151.6875000000073,1170.171875,5.6,2300.0,0.0,2300.0,178755260,94182747,0,748703783
1708849465474.81,0,0,0,0,0,0,0,0,71884234,1987043428,301084,1452985,0,0,0,0,0,0,0,0,0,0,0,0,640895862,56082218,399745,203716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339741310,1262784,229218,16995,0,0,0,0,1082555,36778567168,479642,27504521216,13.8125,33374.79687499999,32.578125,1152.4062500000073,1170.578125,5.1,1506.0,0.0,2300.0,178823552,94218840,0,748964207
1708849465957.9697,0,0,0,0,0,0,0,0,71884602,1987043697,301089,1452988,0,0,0,0,0,0,0,0,0,0,0,0,640898497,56083864,399767,203740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339741310,1262784,229218,16995,0,0,0,0,1082580,36778677760,479642,27504521216,13.8125,33383.96874999999,32.578125,1152.6562500000073,1170.796875,4.9,2300.0,0.0,2300.0,178858706,94236583,0,749132631
