01-19 20:13:35.431 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: begin
01-19 20:13:35.432 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: sampleRate => 1000
01-19 20:13:35.432 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: rawFields => Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
01-19 20:14:57.646 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691697646,-931663,3752
01-19 20:14:58.649 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691698649,-1066066,3760
01-19 20:14:59.651 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691699651,-1260163,3760
01-19 20:15:00.653 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691700653,-1056910,3760
01-19 20:15:01.656 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691701656,-1272614,3760
01-19 20:15:02.659 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691702659,-964623,3760
01-19 20:15:03.662 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691703662,-969750,3760
01-19 20:15:04.664 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691704664,-1260895,3760
01-19 20:15:05.666 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691705666,-1260163,3760
01-19 20:15:06.670 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691706670,-1385410,3760
01-19 20:15:07.673 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691707673,-1036036,3760
01-19 20:15:08.675 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691708675,-1254303,3757
01-19 20:15:09.677 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691709677,-977441,3757
01-19 20:15:10.679 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691710679,-1213286,3757
01-19 20:15:11.681 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691711681,-1157621,3757
01-19 20:15:12.684 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691712684,-1068996,3757
01-19 20:15:13.687 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691713687,-1042262,3757
01-19 20:15:14.689 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691714689,-1330843,3757
01-19 20:15:15.691 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691715691,-864645,3757
01-19 20:15:16.693 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691716693,-1356112,3757
01-19 20:15:17.695 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691717695,-1042628,3757
01-19 20:15:18.699 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691718699,-1130887,3762
01-19 20:15:19.701 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691719701,-1016992,3762
