01-17 07:48:29.443 24835 24835 I BatteryMgr:DataCollectionService: onStartCommand: begin
01-17 07:48:29.443 24835 24835 I BatteryMgr:DataCollectionService: onStartCommand: sampleRate => 1000
01-17 07:48:29.443 24835 24835 I BatteryMgr:DataCollectionService: onStartCommand: rawFields => Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
01-17 07:49:57.843 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474197843,-1727538,4039
01-17 07:49:58.847 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474198847,-1777342,4039
01-17 07:49:59.852 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474199852,-1836424,4039
01-17 07:50:00.856 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474200856,-1767577,4039
01-17 07:50:01.861 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474201861,-1953612,4039
01-17 07:50:02.865 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474202865,-1853514,4039
01-17 07:50:03.869 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474203869,-1910643,4022
01-17 07:50:04.873 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474204873,-1835936,4022
01-17 07:50:05.877 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474205877,-1992186,4022
01-17 07:50:06.882 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474206881,-1774901,4022
01-17 07:50:07.886 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474207886,-1812987,4022
01-17 07:50:08.891 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474208890,-1779295,4022
01-17 07:50:09.894 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474209894,-1807127,4022
01-17 07:50:10.898 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474210898,-1943846,4022
01-17 07:50:11.905 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474211905,-1866698,4022
01-17 07:50:12.909 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474212909,-1785155,4022
01-17 07:50:13.913 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474213913,-1858397,4026
01-17 07:50:14.917 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474214917,-1838377,4026
01-17 07:50:15.921 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474215921,-1791014,4026
01-17 07:50:16.925 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474216925,-1831542,4026
01-17 07:50:17.929 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474217929,-1847167,4026
01-17 07:50:18.933 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474218933,-1876463,4026
01-17 07:50:19.938 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474219937,-1846678,4026
01-17 07:50:20.943 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474220943,-1832518,4026
01-17 07:50:21.947 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474221947,-1821776,4026
01-17 07:50:22.950 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474222950,-1854491,4026
01-17 07:50:23.955 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474223955,-1968260,4020
01-17 07:50:24.959 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474224959,-1979979,4020
01-17 07:50:25.964 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474225964,-1971678,4020
01-17 07:50:26.968 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474226968,-1822752,4020
