01-19 20:04:01.816 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: begin
01-19 20:04:01.816 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: sampleRate => 1000
01-19 20:04:01.816 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: rawFields => Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
01-19 20:05:49.106 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691149106,-1747235,3768
01-19 20:05:50.110 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691150110,-1353549,3768
01-19 20:05:51.113 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691151113,-1309968,3768
01-19 20:05:52.115 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691152115,-1155057,3768
01-19 20:05:53.118 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691153118,-1275544,3768
01-19 20:05:54.120 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691154120,-1170439,3768
01-19 20:05:55.122 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691155122,-1125394,3768
01-19 20:05:56.124 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691156124,-1450597,3768
01-19 20:05:57.126 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691157126,-1324251,3768
01-19 20:05:58.129 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691158129,-1352450,3769
01-19 20:05:59.132 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691159132,-1213653,3769
01-19 20:06:00.134 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691160134,-1052516,3769
01-19 20:06:01.136 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691161136,-1167875,3769
01-19 20:06:02.137 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691162137,-1463415,3769
01-19 20:06:03.140 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691163140,-1133084,3769
01-19 20:06:04.142 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691164142,-1018457,3769
