--------- beginning of main
01-18 09:34:17.064  1974 32022 I VrApi   : FPS=90/90,Prd=22ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-1,Fov=0,CPU4/GPU=4/4,1920/545MHz,OC=3F,TA=0/3C/0,SP=N/F/N,Mem=2092MHz,Free=3812MB,PLS=0,Temp=44.0C/0.0C,TW=1.33ms,App=2.10ms,GD=0.00ms,CPU&GPU=3.22ms,LCnt=3(DR91,LM2),GPU%=0.34,CPU%=0.29(W0.33),DSF=1.04,CFL=10.37/14.57,ICFLp95=13.40,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:18.064  1974 32022 I VrApi   : FPS=90/90,Prd=20ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-1,Fov=0,CPU4/GPU=4/4,1920/545MHz,OC=3F,TA=0/3C/0,SP=N/F/N,Mem=2736MHz,Free=3812MB,PLS=0,Temp=44.0C/0.0C,TW=1.34ms,App=2.09ms,GD=0.00ms,CPU&GPU=1.77ms,LCnt=3(DR90,LM2),GPU%=0.33,CPU%=0.27(W0.32),DSF=1.04,CFL=10.83/14.72,ICFLp95=13.48,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:33.001   493   866 I VrApi   : FPS=4/72,Prd=26ms,Tear=0,Early=5,Stale=68,Stale2/5/10/max=0/0/1/77,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,2361/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=3196MHz,Free=2908MB,PLS=0,Temp=45.0C/0.0C,TW=1.13ms,App=-17.04ms,GD=0.38ms,CPU&GPU=227777.06ms,LCnt=2(DR0,LM0),GPU%=0.19,CPU%=0.30(W0.55),DSF=1.04,CFL=13.67/19.45,ICFLp95=18.21,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:34.001   493   866 I VrApi   : FPS=54/72,Prd=39ms,Tear=0,Early=72,Stale=0,Stale2/5/10/max=0/0/1/20,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,2361/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=1708MHz,Free=2908MB,PLS=0,Temp=45.0C/0.0C,TW=1.16ms,App=2.54ms,GD=0.39ms,CPU&GPU=134.66ms,LCnt=2(DR0,LM0),GPU%=0.35,CPU%=0.30(W0.41),DSF=1.04,CFL=12.13/16.95,ICFLp95=15.62,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:35.001   493   866 I VrApi   : FPS=72/72,Prd=38ms,Tear=0,Early=72,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,1382/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=1555MHz,Free=2908MB,PLS=0,Temp=45.0C/0.0C,TW=1.16ms,App=3.00ms,GD=0.38ms,CPU&GPU=9.72ms,LCnt=2(DR0,LM0),GPU%=0.35,CPU%=0.28(W0.38),DSF=1.04,CFL=11.39/15.76,ICFLp95=14.47,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:36.001   493   866 I VrApi   : FPS=73/72,Prd=38ms,Tear=0,Early=72,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,1382/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=2092MHz,Free=2908MB,PLS=0,Temp=45.0C/0.0C,TW=1.14ms,App=1.93ms,GD=0.38ms,CPU&GPU=8.94ms,LCnt=2(DR0,LM0),GPU%=0.28,CPU%=0.28(W0.38),DSF=1.04,CFL=11.09/15.23,ICFLp95=13.93,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:37.001   493   866 I VrApi   : FPS=72/72,Prd=39ms,Tear=0,Early=72,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,1382/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=2092MHz,Free=2908MB,PLS=0,Temp=45.0C/0.0C,TW=1.15ms,App=3.07ms,GD=0.38ms,CPU&GPU=7.18ms,LCnt=2(DR0,LM0),GPU%=0.34,CPU%=0.25(W0.35),DSF=1.04,CFL=10.92/14.95,ICFLp95=13.69,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:38.001   493   866 I VrApi   : FPS=73/72,Prd=37ms,Tear=0,Early=72,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,1382/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=2092MHz,Free=2908MB,PLS=0,Temp=45.0C/0.0C,TW=1.14ms,App=3.04ms,GD=0.38ms,CPU&GPU=9.58ms,LCnt=2(DR0,LM0),GPU%=0.35,CPU%=0.32(W0.45),DSF=1.04,CFL=10.83/14.73,ICFLp95=13.58,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:39.001   493   866 I VrApi   : FPS=73/72,Prd=37ms,Tear=0,Early=72,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,1382/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=2092MHz,Free=2908MB,PLS=0,Temp=45.0C/0.0C,TW=1.14ms,App=3.10ms,GD=0.38ms,CPU&GPU=9.37ms,LCnt=2(DR0,LM0),GPU%=0.35,CPU%=0.23(W0.37),DSF=1.04,CFL=10.72/14.69,ICFLp95=13.52,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:40.001   493   866 I VrApi   : FPS=73/72,Prd=37ms,Tear=0,Early=72,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,1651/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=2092MHz,Free=2908MB,PLS=0,Temp=45.0C/0.0C,TW=1.14ms,App=3.04ms,GD=0.38ms,CPU&GPU=9.18ms,LCnt=2(DR0,LM0),GPU%=0.35,CPU%=0.26(W0.41),DSF=1.04,CFL=10.74/14.63,ICFLp95=13.50,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:41.002   493   866 I VrApi   : FPS=72/72,Prd=37ms,Tear=0,Early=73,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,1382/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=1555MHz,Free=2908MB,PLS=0,Temp=45.0C/0.0C,TW=1.16ms,App=2.96ms,GD=0.38ms,CPU&GPU=9.51ms,LCnt=2(DR0,LM0),GPU%=0.35,CPU%=0.27(W0.40),DSF=1.04,CFL=10.70/14.54,ICFLp95=13.44,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:42.034   493   866 I VrApi   : FPS=73/72,Prd=37ms,Tear=0,Early=73,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,1382/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=2092MHz,Free=2268MB,PLS=0,Temp=45.0C/0.0C,TW=1.15ms,App=2.96ms,GD=0.38ms,CPU&GPU=9.64ms,LCnt=2(DR0,LM0),GPU%=0.35,CPU%=0.29(W0.50),DSF=1.04,CFL=10.69/14.69,ICFLp95=13.50,LD=0,SF=1.00,LP=0,DVFS=0
