--------- beginning of main
02-22 16:05:46.125 12862 12979 I VrApi   : FPS=28/72,Prd=0ms,Tear=0,Early=36,Stale=54,Stale2/5/10/max=18/0/0/3,VSnc=1,Lat=0,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/70/0,SP=N/F/N,Mem=2092MHz,Free=7755MB,PLS=0,Temp=25.7C/0.0C,TW=3.78ms,App=12.63ms,GD=0.55ms,CPU&GPU=40.89ms,LCnt=4(DR0,LM2),GPU%=0.46,CPU%=0.19(W0.33),DSF=1.00,CFL=18.29/21.23,ICFLp95=20.34,LD=1,SF=1.23,LP=0,DVFS=0
02-22 16:05:46.140 12862 12886 W VrApi   : Warning: app-submitted vsync 178282 for display time 2465.989s exceeds max future display vsync -- clamping to 178277
02-22 16:05:46.196 12862 12886 W VrApi   : Warning: app-submitted vsync 178286 for display time 2466.045s exceeds max future display vsync -- clamping to 178281
02-22 16:05:46.252 12862 12886 W VrApi   : Warning: app-submitted vsync 178290 for display time 2466.101s exceeds max future display vsync -- clamping to 178285
02-22 16:05:46.307 12862 12886 W VrApi   : Warning: app-submitted vsync 178294 for display time 2466.156s exceeds max future display vsync -- clamping to 178289
02-22 16:05:46.363 12862 12886 W VrApi   : Warning: app-submitted vsync 178298 for display time 2466.212s exceeds max future display vsync -- clamping to 178293
02-22 16:05:46.418 12862 12886 W VrApi   : Warning: app-submitted vsync 178302 for display time 2466.267s exceeds max future display vsync -- clamping to 178297
02-22 16:05:46.474 12862 12886 W VrApi   : Warning: app-submitted vsync 178306 for display time 2466.323s exceeds max future display vsync -- clamping to 178301
02-22 16:05:46.529 12862 12886 W VrApi   : Warning: app-submitted vsync 178310 for display time 2466.378s exceeds max future display vsync -- clamping to 178305
02-22 16:05:46.585 12862 12886 W VrApi   : Warning: app-submitted vsync 178314 for display time 2466.434s exceeds max future display vsync -- clamping to 178309
02-22 16:05:46.640 12862 12886 W VrApi   : Warning: app-submitted vsync 178318 for display time 2466.489s exceeds max future display vsync -- clamping to 178313
02-22 16:05:46.696 12862 12886 W VrApi   : Warning: app-submitted vsync 178322 for display time 2466.545s exceeds max future display vsync -- clamping to 178317
02-22 16:05:46.752 12862 12886 W VrApi   : Warning: app-submitted vsync 178326 for display time 2466.600s exceeds max future display vsync -- clamping to 178321
02-22 16:05:46.807 12862 12886 W VrApi   : Warning: app-submitted vsync 178330 for display time 2466.656s exceeds max future display vsync -- clamping to 178325
02-22 16:05:46.863 12862 12886 W VrApi   : Warning: app-submitted vsync 178334 for display time 2466.712s exceeds max future display vsync -- clamping to 178329
02-22 16:05:46.918 12862 12886 W VrApi   : Warning: app-submitted vsync 178338 for display time 2466.767s exceeds max future display vsync -- clamping to 178333
02-22 16:05:46.974 12862 12886 W VrApi   : Warning: app-submitted vsync 178342 for display time 2466.823s exceeds max future display vsync -- clamping to 178337
02-22 16:05:47.029 12862 12886 W VrApi   : Warning: app-submitted vsync 178346 for display time 2466.878s exceeds max future display vsync -- clamping to 178341
02-22 16:05:47.085 12862 12886 W VrApi   : Warning: app-submitted vsync 178350 for display time 2466.934s exceeds max future display vsync -- clamping to 178345
02-22 16:05:47.125 12862 12979 I VrApi   : FPS=19/72,Prd=0ms,Tear=0,Early=32,Stale=47,Stale2/5/10/max=15/0/0/3,VSnc=1,Lat=0,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/70/0,SP=N/F/N,Mem=2092MHz,Free=7755MB,PLS=0,Temp=25.7C/0.0C,TW=3.76ms,App=12.49ms,GD=0.57ms,CPU&GPU=47.28ms,LCnt=4(DR0,LM2),GPU%=0.45,CPU%=0.17(W0.26),DSF=1.00,CFL=18.45/21.21,ICFLp95=20.38,LD=1,SF=1.23,LP=0,DVFS=0
02-22 16:05:47.140 12862 12886 W VrApi   : Warning: app-submitted vsync 178354 for display time 2466.989s exceeds max future display vsync -- clamping to 178349
02-22 16:05:47.196 12862 12886 W VrApi   : Warning: app-submitted vsync 178358 for display time 2467.045s exceeds max future display vsync -- clamping to 178353
02-22 16:05:47.251 12862 12886 W VrApi   : Warning: app-submitted vsync 178362 for display time 2467.100s exceeds max future display vsync -- clamping to 178357
02-22 16:05:47.307 12862 12886 W VrApi   : Warning: app-submitted vsync 178366 for display time 2467.156s exceeds max future display vsync -- clamping to 178361
02-22 16:05:48.125 12862 12979 I VrApi   : FPS=19/72,Prd=0ms,Tear=0,Early=37,Stale=55,Stale2/5/10/max=18/0/0/3,VSnc=1,Lat=0,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/70/0,SP=N/F/N,Mem=2092MHz,Free=7755MB,PLS=0,Temp=26.0C/0.0C,TW=3.83ms,App=7.66ms,GD=0.58ms,CPU&GPU=47.28ms,LCnt=4(DR0,LM2),GPU%=0.46,CPU%=0.08(W0.14),DSF=1.00,CFL=18.41/21.43,ICFLp95=20.41,LD=1,SF=1.23,LP=0,DVFS=0
02-22 16:05:49.125 12862 12979 I VrApi   : FPS=19/72,Prd=0ms,Tear=0,Early=33,Stale=48,Stale2/5/10/max=17/0/0/3,VSnc=1,Lat=0,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/70/0,SP=N/F/N,Mem=2092MHz,Free=7755MB,PLS=0,Temp=26.0C/0.0C,TW=4.23ms,App=0.00ms,GD=0.63ms,CPU&GPU=47.28ms,LCnt=4(DR0,LM2),GPU%=0.53,CPU%=0.14(W0.21),DSF=1.00,CFL=18.46/21.38,ICFLp95=20.41,LD=1,SF=1.23,LP=0,DVFS=0
02-22 16:05:50.125 12862 12979 I VrApi   : FPS=47/72,Prd=0ms,Tear=0,Early=0,Stale=61,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=0,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/70/0,SP=N/F/N,Mem=2092MHz,Free=7755MB,PLS=0,Temp=26.0C/0.0C,TW=4.25ms,App=4.02ms,GD=0.72ms,CPU&GPU=30.22ms,LCnt=4(DR0,LM2),GPU%=0.52,CPU%=0.07(W0.11),DSF=1.00,CFL=18.69/21.87,ICFLp95=20.73,LD=1,SF=1.23,LP=0,DVFS=0
02-22 16:05:51.125 12862 12979 I VrApi   : FPS=42/72,Prd=0ms,Tear=0,Early=0,Stale=72,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=0,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/70/0,SP=N/F/N,Mem=2092MHz,Free=7755MB,PLS=0,Temp=26.0C/0.0C,TW=4.27ms,App=4.44ms,GD=0.71ms,CPU&GPU=24.18ms,LCnt=4(DR0,LM2),GPU%=0.53,CPU%=0.10(W0.14),DSF=1.00,CFL=18.83/21.86,ICFLp95=20.79,LD=1,SF=1.23,LP=0,DVFS=0
02-22 16:05:52.125 12862 12979 I VrApi   : FPS=41/72,Prd=0ms,Tear=0,Early=0,Stale=73,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=0,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/70/0,SP=N/F/N,Mem=2092MHz,Free=7755MB,PLS=0,Temp=26.0C/0.0C,TW=4.28ms,App=7.14ms,GD=0.74ms,CPU&GPU=24.00ms,LCnt=4(DR0,LM2),GPU%=0.53,CPU%=0.08(W0.10),DSF=1.00,CFL=18.80/21.97,ICFLp95=20.73,LD=1,SF=1.23,LP=0,DVFS=0
02-22 16:05:53.125 12862 12979 I VrApi   : FPS=40/72,Prd=0ms,Tear=0,Early=0,Stale=73,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=0,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/70/0,SP=N/F/N,Mem=2092MHz,Free=7755MB,PLS=0,Temp=26.0C/0.0C,TW=4.18ms,App=1.30ms,GD=0.66ms,CPU&GPU=24.86ms,LCnt=4(DR0,LM2),GPU%=0.52,CPU%=0.13(W0.14),DSF=1.00,CFL=18.79/21.85,ICFLp95=20.75,LD=1,SF=1.23,LP=0,DVFS=0
02-22 16:05:53.125 12862 12886 W VrApi   : Warning: app-submitted vsync 178827 for display time 2473.558s exceeds max future display vsync -- clamping to 178780
02-22 16:05:53.181 12862 12886 W VrApi   : Warning: app-submitted vsync 178828 for display time 2473.572s exceeds max future display vsync -- clamping to 178784
02-22 16:05:53.236 12862 12886 W VrApi   : Warning: app-submitted vsync 178829 for display time 2473.586s exceeds max future display vsync -- clamping to 178788
02-22 16:05:53.292 12862 12886 W VrApi   : Warning: app-submitted vsync 178830 for display time 2473.600s exceeds max future display vsync -- clamping to 178792
02-22 16:05:53.348 12862 12886 W VrApi   : Warning: app-submitted vsync 178841 for display time 2473.752s exceeds max future display vsync -- clamping to 178796
02-22 16:05:53.403 12862 12886 W VrApi   : Warning: app-submitted vsync 178842 for display time 2473.766s exceeds max future display vsync -- clamping to 178800
02-22 16:05:53.459 12862 12886 W VrApi   : Warning: app-submitted vsync 178844 for display time 2473.794s exceeds max future display vsync -- clamping to 178804
02-22 16:05:53.514 12862 12886 W VrApi   : Warning: app-submitted vsync 178848 for display time 2473.849s exceeds max future display vsync -- clamping to 178808
02-22 16:05:53.570 12862 12886 W VrApi   : Warning: app-submitted vsync 178852 for display time 2473.905s exceeds max future display vsync -- clamping to 178812
02-22 16:05:53.625 12862 12886 W VrApi   : Warning: app-submitted vsync 178856 for display time 2473.961s exceeds max future display vsync -- clamping to 178816
02-22 16:05:53.681 12862 12886 W VrApi   : Warning: app-submitted vsync 178860 for display time 2474.016s exceeds max future display vsync -- clamping to 178820
02-22 16:05:53.736 12862 12886 W VrApi   : Warning: app-submitted vsync 178861 for display time 2474.030s exceeds max future display vsync -- clamping to 178824
02-22 16:05:53.792 12862 12886 W VrApi   : Warning: app-submitted vsync 178862 for display time 2474.044s exceeds max future display vsync -- clamping to 178828
02-22 16:05:53.848 12862 12886 W VrApi   : Warning: app-submitted vsync 178864 for display time 2474.072s exceeds max future display vsync -- clamping to 178832
02-22 16:05:53.903 12862 12886 W VrApi   : Warning: app-submitted vsync 178866 for display time 2474.099s exceeds max future display vsync -- clamping to 178836
02-22 16:05:53.959 12862 12886 W VrApi   : Warning: app-submitted vsync 178870 for display time 2474.155s exceeds max future display vsync -- clamping to 178840
02-22 16:05:54.014 12862 12886 W VrApi   : Warning: app-submitted vsync 178872 for display time 2474.183s exceeds max future display vsync -- clamping to 178844
02-22 16:05:54.070 12862 12886 W VrApi   : Warning: app-submitted vsync 178874 for display time 2474.211s exceeds max future display vsync -- clamping to 178848
