01-19 19:51:42.283 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: begin
01-19 19:51:42.284 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: sampleRate => 1000
01-19 19:51:42.284 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: rawFields => Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
01-19 19:53:13.571 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690393571,-1210357,3820
01-19 19:53:14.575 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690394575,-998681,3820
01-19 19:53:15.577 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690395577,-1106350,3820
01-19 19:53:16.579 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690396579,-1032374,3826
01-19 19:53:17.582 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690397582,-1188017,3826
01-19 19:53:18.584 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690398584,-1147367,3826
01-19 19:53:19.588 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690399588,-1248443,3826
01-19 19:53:20.590 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690400590,-1386142,3826
01-19 19:53:21.593 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690401593,-993921,3826
01-19 19:53:22.596 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690402596,-1081447,3826
01-19 19:53:23.600 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690403600,-1077053,3826
01-19 19:53:24.602 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690404602,-1174101,3826
01-19 19:53:25.604 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690405604,-1129788,3826
01-19 19:53:26.607 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690406607,-1289826,3820
01-19 19:53:27.609 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690407609,-1193510,3820
01-19 19:53:28.611 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690408611,-1238556,3820
01-19 19:53:29.613 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690409613,-1072658,3820
01-19 19:53:30.617 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690410617,-1312898,3820
01-19 19:53:31.619 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690411619,-1145169,3820
01-19 19:53:32.621 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690412621,-1137845,3820
01-19 19:53:33.623 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690413623,-1253937,3820
01-19 19:53:34.626 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690414626,-1228301,3820
01-19 19:53:35.630 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690415630,-1117703,3820
01-19 19:53:36.632 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690416632,-1268952,3807
01-19 19:53:37.636 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690417636,-1042994,3807
01-19 19:53:38.639 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690418639,-1331575,3807
01-19 19:53:39.641 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690419641,-1238189,3807
01-19 19:53:40.643 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690420643,-1173368,3807
01-19 19:53:41.646 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690421646,-1519446,3785
01-19 19:53:42.649 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690422649,-1235260,3785
01-19 19:53:43.650 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690423650,-1255402,3785
01-19 19:53:44.654 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690424653,-1273713,3785
01-19 19:53:45.657 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690425657,-1278840,3785
01-19 19:53:46.659 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690426659,-1182890,3800
01-19 19:53:47.661 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690427661,-1246246,3800
01-19 19:53:48.664 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690428664,-1251739,3800
01-19 19:53:49.666 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690429666,-1253571,3800
01-19 19:53:50.669 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690430669,-1023218,3800
01-19 19:53:51.674 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690431673,-1306306,3800
01-19 19:53:52.677 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690432677,-1181059,3800
01-19 19:53:53.679 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690433679,-1137845,3800
01-19 19:53:54.681 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690434681,-1265656,3800
01-19 19:53:55.684 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690435684,-1376987,3800
01-19 19:53:56.687 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690436687,-1222442,3815
01-19 19:53:57.689 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690437689,-1250275,3815
01-19 19:53:58.692 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690438692,-1196806,3815
01-19 19:53:59.695 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690439695,-1303376,3815
01-19 19:54:00.698 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690440698,-1263459,3815
01-19 19:54:01.700 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690441700,-1067165,3815
01-19 19:54:02.702 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690442702,-1392002,3815
01-19 19:54:03.704 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690443704,-1461950,3815
01-19 19:54:04.708 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690444708,-1163114,3815
01-19 19:54:05.711 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690445710,-1032740,3815
01-19 19:54:06.713 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690446713,-1301179,3813
01-19 19:54:07.716 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690447716,-1183989,3813
01-19 19:54:08.718 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690448718,-961327,3813
01-19 19:54:09.721 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690449721,-1238189,3813
01-19 19:54:10.725 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690450725,-962426,3813
01-19 19:54:11.727 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690451727,-1137479,3813
01-19 19:54:12.731 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690452731,-1398227,3813
01-19 19:54:13.733 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690453733,-993554,3813
01-19 19:54:14.735 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690454735,-1122464,3820
01-19 19:54:15.738 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690455738,-1162382,3820
01-19 19:54:16.740 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690456740,-1163847,3800
01-19 19:54:17.742 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690457742,-1054347,3800
01-19 19:54:18.744 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690458744,-1238556,3800
01-19 19:54:19.746 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690459746,-1066798,3800
01-19 19:54:20.756 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690460756,-1181425,3800
01-19 19:54:21.758 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690461758,-1195342,3800
01-19 19:54:22.760 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690462760,-1157255,3800
01-19 19:54:23.762 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690463762,-1045191,3800
01-19 19:54:24.765 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690464765,-1574379,3800
01-19 19:54:25.770 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690465770,-911155,3800
01-19 19:54:26.772 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690466772,-1064967,3811
01-19 19:54:27.774 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690467774,-1210723,3811
01-19 19:54:28.777 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690468777,-1040797,3811
01-19 19:54:29.780 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690469780,-900168,3811
01-19 19:54:30.785 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690470785,-1101955,3811
01-19 19:54:31.789 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690471789,-1097927,3811
01-19 19:54:32.793 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690472793,-1169340,3811
01-19 19:54:33.798 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690473798,-1200102,3811
01-19 19:54:34.800 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690474800,-1008569,3811
01-19 19:54:35.802 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690475802,-1048487,3811
01-19 19:54:36.807 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690476807,-1088772,3821
01-19 19:54:37.809 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690477809,-1279572,3821
01-19 19:54:38.811 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690478811,-1017725,3821
01-19 19:54:39.813 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690479813,-1136746,3821
01-19 19:54:40.816 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690480816,-952538,3821
01-19 19:54:41.818 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690481818,-1236358,3821
01-19 19:54:42.820 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690482820,-1059474,3821
01-19 19:54:43.823 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690483823,-1149930,3821
01-19 19:54:44.825 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690484825,-1128323,3821
01-19 19:54:45.827 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690485827,-1489050,3821
01-19 19:54:46.833 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690486833,-1260529,3783
01-19 19:54:47.835 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690487835,-1007837,3783
01-19 19:54:48.838 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690488838,-1128690,3783
01-19 19:54:49.840 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690489840,-1011133,3783
01-19 19:54:50.842 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690490842,-971215,3783
01-19 19:54:51.848 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690491848,-1135648,3783
01-19 19:54:52.851 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690492851,-1039332,3783
01-19 19:54:53.853 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690493853,-1164579,3783
01-19 19:54:54.855 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690494855,-1040431,3783
01-19 19:54:55.858 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690495858,-988794,3783
01-19 19:54:56.861 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690496861,-1126492,3823
01-19 19:54:57.863 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690497863,-1209624,3823
01-19 19:54:58.866 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690498866,-1034571,3823
01-19 19:54:59.868 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690499868,-1022852,3823
01-19 19:55:00.871 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690500871,-1126126,3823
01-19 19:55:01.877 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690501877,-1121731,3823
01-19 19:55:02.880 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690502880,-1084011,3823
01-19 19:55:03.882 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690503882,-1070094,3823
01-19 19:55:04.885 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690504885,-1306672,3823
01-19 19:55:05.888 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690505888,-1211455,3823
01-19 19:55:06.891 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690506891,-1303010,3794
01-19 19:55:07.893 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690507893,-1690837,3794
01-19 19:55:08.895 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690508895,-1234161,3794
01-19 19:55:09.899 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690509899,-1238189,3794
01-19 19:55:10.902 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690510902,-1394931,3794
01-19 19:55:11.904 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690511904,-1185454,3794
01-19 19:55:12.906 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690512906,-1267487,3794
01-19 19:55:13.909 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690513909,-1199736,3794
01-19 19:55:14.912 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690514912,-1204497,3794
01-19 19:55:15.917 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690515917,-1216582,3794
01-19 19:55:16.920 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690516920,-1383945,3805
01-19 19:55:17.921 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690517921,-1364169,3805
01-19 19:55:18.924 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690518924,-1237457,3805
01-19 19:55:20.931 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690520931,-1282868,3805
01-19 19:55:21.935 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690521935,-1368564,3805
01-19 19:55:22.937 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690522937,-1580239,3805
01-19 19:55:23.941 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690523941,-1494910,3805
01-19 19:55:24.946 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690524946,-1456090,3805
01-19 19:55:25.948 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690525948,-1389438,3805
01-19 19:55:26.951 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690526951,-1153959,3806
01-19 19:55:27.959 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690527959,-1209258,3806
01-19 19:55:28.961 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690528961,-1522376,3806
01-19 19:55:29.963 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690529963,-1274811,3806
01-19 19:55:30.965 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690530965,-1227569,3793
01-19 19:55:31.968 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690531968,-1173002,3793
01-19 19:55:32.973 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690532973,-1071559,3793
01-19 19:55:33.975 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690533975,-1367831,3793
01-19 19:55:34.977 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690534977,-1382114,3793
01-19 19:55:35.981 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690535981,-1251373,3793
01-19 19:55:36.984 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690536984,-1075221,3810
01-19 19:55:37.988 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690537988,-1430455,3810
01-19 19:55:38.991 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690538991,-1195708,3810
01-19 19:55:39.995 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690539995,-1157621,3810
01-19 19:55:40.998 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690540998,-1465978,3810
01-19 19:55:42.000 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690542000,-1305208,3810
01-19 19:55:43.003 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690543003,-1144437,3810
01-19 19:55:44.004 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690544004,-1416905,3810
01-19 19:55:45.006 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690545006,-1365268,3810
01-19 19:55:46.015 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690546015,-1334505,3810
01-19 19:55:47.017 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690547017,-1227203,3800
01-19 19:55:48.020 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690548020,-1199004,3800
01-19 19:55:49.025 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690549025,-1174101,3800
01-19 19:55:50.027 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690550027,-1800337,3800
01-19 19:55:51.030 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690551030,-1624551,3800
01-19 19:55:52.032 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690552032,-1279206,3800
01-19 19:55:53.036 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690553036,-1307405,3800
01-19 19:55:54.039 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705690554038,-1437413,3800
